Cliente;Número RO;Data Abertura RO;Ult Sts;Informação Solicitada ao Cliente;Dias Útimo Status;Motivo;Reclamado Ton;Reclamado M2;Comentários da Qualidade;Situação atual do RO;Qtd de FP realizado;Último FP realizado;Comentários do Pós vendas;Link
OTOBELLI IND.COM.E IMP. VIDROS LTDA;03933-2025;29/10/2025;002;30/10/2025;33;DIFERENÇA DE TONALIDADE;2,08;215,71;Aguardando amostras;;;;-;Sistema RO
VIDRACARIA GUAPORE LTDA;03944-2025;29/10/2025;002;30/10/2025;33;RISCO;0,03;1,49;Aguardando amostras;;;;-;Sistema RO
VIDRACARIA PESTANA LTDA.;03964-2025;30/10/2025;002;31/10/2025;32;MANCHAS;0,78;38,52;Aguardando amostras;;;;-;Sistema RO
SG IND E COM DE VIDROS LTDA;03960-2025;30/10/2025;002;31/10/2025;32;RISCO LOCALIZADO;0,31;15,41;Análise química/delaminação;;;;-;Sistema RO
CYBERGLASS IND COM DE VIDROS LTDA;03983-2025;31/10/2025;002;03/11/2025;29;FALHA DE METALIZAÇÃO;0,12;8,15;Aguardando amostras;;;;-;Sistema RO
MARVITE MARANHAO VIDROS TEMP LTDA;03985-2025;31/10/2025;002;03/11/2025;29;FALHA DE METALIZAÇÃO;2,02;100,15;Aguardando amostras;;;;-;Sistema RO
CRISTAL SETE VIDROS TEMPERADOS LTDA;03990-2025;03/11/2025;002;04/11/2025;28;FALHA DE METALIZAÇÃO;0,08;4,51;Aguardando amostras;;;;-;Sistema RO
VIDRACARIA LAJEADENSE LTDA.;04039-2025;05/11/2025;002;06/11/2025;26;FALHA DE METALIZAÇÃO;0,08;5,58;Aguardando amostras;;;;-;Sistema RO
VITRIUM IND E COM DE VIDROS LTDA;04040-2025;05/11/2025;002;06/11/2025;26;MANCHAS;0,34;23,11;Aguardando amostras;;;;-;Sistema RO
VIDROFORTE IND E COM DE VIDROS LTDA;04071-2025;10/11/2025;002;11/11/2025;21;BOLHAS;0,09;7,70;Aguardando amostras;;;;-;Sistema RO
REAL VIDROS COMERCIO DE VIDROS LTDA;04085-2025;10/11/2025;002;11/11/2025;21;MANCHAS;0,06;3,85;Aguardando amostras;;;;-;Sistema RO
GLASSEC VIDROS DE SEGURANCA LTDA;04091-2025;10/11/2025;002;11/11/2025;21;SERRILHADO;0,15;15,41;Aguardando amostras;;;;-;Sistema RO
GLASSEC VIDROS DE SEGURANCA LTDA;04092-2025;10/11/2025;002;11/11/2025;21;SERRILHADO;0,15;15,41;Aguardando amostras;;;;-;Sistema RO
TEMPERLANDIA TEMP VIDROLANDIA LTDA;04116-2025;11/11/2025;002;13/11/2025;19;PEDIDO ERRADO;2,17;107,86;Em análise;;;;-;Sistema RO
VIDRACARIA LAJEADENSE LTDA.;04110-2025;11/11/2025;002;12/11/2025;20;FALHA DE METALIZAÇÃO;0,16;7,94;Em análise;;;;-;Sistema RO
PKO DO BRASIL IMPORT E EXPORT LTDA;04143-2025;12/11/2025;002;13/11/2025;19;DEFORMAÇÃO;0,01;1,39;Aguardando amostras;;;;-;Sistema RO
MODELO VIDROS IND E COMERCIO LTDA;04123-2025;12/11/2025;002;13/11/2025;19;FALHA DE METALIZAÇÃO;13,91;690,00;Em análise;;;;-;Sistema RO
VITROCOLOR IND COM VIDROS LTDA;04125-2025;12/11/2025;002;13/11/2025;19;RISCO;4,24;597,00;Em análise;;;;-;Sistema RO
